"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1045","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","3.589750","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","4","1","23.134964","0","6"
"/MixedRealityCaptureFramework/M_GarbageMatte.M_GarbageMatte","21","4","1","1","20.677467","0","10"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","29.622854","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","50.894592","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","16","3","1","236.071899","0","146"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","1","1","17.347202","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","5.754447","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","11.204912","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","19","1","1","133.870499","0","190"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","1","1","17.170477","0","13"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","1","1","14.273666","0","43"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","0.000000","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","28","2","1","202.931427","0","419"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","14","1","1","95.849045","0","99"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","6.663468","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","6","3","1","11.561829","0","16"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","8.129187","0","2"
"/Game/ourMATs/MAT_greens.MAT_greens","21","28","4","1","742.328003","168","2438"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","21","2","2","1","6.920658","0","3"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","21","10","1","1","41.167698","0","64"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","21","2","2","1","5.214468","0","3"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","21","42","1","1","283.536072","0","877"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","21","14","1","1","86.949257","0","114"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","84","1","1","523.918579","0","3138"
